valid_time,sshf,u10,v10,latitude,longitude,classification_hf,wind_dir,dir_bin
2023-01-08 22:00:00,-5936.0,-1.0039062,11.2421875,54.75,6.5,unstable,174.8971296176076,7
2023-01-08 23:00:00,-13960.0,-1.234375,11.0390625,54.75,6.5,unstable,173.61975684192493,7
2023-01-09 00:00:00,-19472.0,-1.3251953,10.875,54.75,6.5,unstable,173.05235965730958,7
2023-01-09 01:00:00,-29632.0,-1.0517578,11.6328125,54.75,6.5,unstable,174.83376170331692,7
2023-01-09 02:00:00,-32752.0,2.484375,12.1015625,54.75,6.5,unstable,191.60127647915473,7
2023-01-09 03:00:00,-35008.0,6.34375,9.40625,54.75,6.5,unstable,213.9964591482505,8
2023-01-09 04:00:00,-34368.0,7.8476562,6.2734375,54.75,6.5,unstable,231.36106561376232,9
2023-01-09 05:00:00,-30848.0,7.9453125,5.1210938,54.75,6.5,unstable,237.19648803269632,9
2023-01-09 06:00:00,-26976.0,7.359375,4.75,54.75,6.5,unstable,237.1603763887918,9
2023-01-09 07:00:00,-14232.0,6.875,5.125,54.75,6.5,unstable,233.29714496983686,9
2023-01-09 08:00:00,-11696.0,6.6171875,5.6679688,54.75,6.5,unstable,229.4182086279921,9
2023-01-09 09:00:00,-13200.0,6.34375,6.0273438,54.75,6.5,unstable,226.46509183232763,9
2023-01-09 10:00:00,-19904.0,6.2226562,6.3554688,54.75,6.5,unstable,224.395035535116,8
2023-01-09 11:00:00,-21648.0,6.3125,6.5390625,54.75,6.5,unstable,223.99002704851267,8
2023-01-09 12:00:00,-22240.0,6.3632812,5.9648438,54.75,6.5,unstable,226.85111992727835,9
2023-01-09 13:00:00,-18128.0,6.7421875,4.8476562,54.75,6.5,unstable,234.2837339358318,9
2023-01-09 14:00:00,-10560.0,7.1835938,3.0722656,54.75,6.5,unstable,246.84466608265421,9
2023-01-09 15:00:00,-8072.0,7.125,1.6386719,54.75,6.5,unstable,257.047831975999,10
2023-01-09 16:00:00,-6824.0,7.4375,0.88378906,54.75,6.5,unstable,263.2233890129688,10
2023-01-09 17:00:00,-6688.0,7.4375,0.6142578,54.75,6.5,unstable,265.2786977872069,10
2023-01-09 18:00:00,-9720.0,7.1445312,0.77685547,54.75,6.5,unstable,263.79436462797366,10
2023-01-09 19:00:00,-11736.0,7.5039062,0.80078125,54.75,6.5,unstable,263.90871937470706,10
2023-01-09 20:00:00,-11304.0,8.0546875,0.11651611,54.75,6.5,unstable,269.1712383932635,10
2023-01-09 21:00:00,-8688.0,8.40625,-0.60498047,54.75,6.5,unstable,274.11636209673884,10
2023-01-09 22:00:00,-5736.0,9.890625,-2.0078125,54.75,6.5,unstable,281.4751999389661,10
2023-01-09 23:00:00,-5700.0,8.890625,-1.6015625,54.75,6.5,unstable,280.211776364225,10
2023-01-10 00:00:00,-5000.0,8.3203125,-0.6489258,54.75,6.5,unstable,274.45963954462536,10
2023-01-10 01:00:00,-4500.0,8.21875,0.43530273,54.75,6.5,unstable,266.9681853674926,10
2023-01-10 02:00:00,-3664.0,8.203125,1.6572266,54.75,6.5,unstable,258.57861488363693,10
2023-01-10 03:00:00,-4744.0,7.4179688,2.5976562,54.75,6.5,unstable,250.7005471747364,9
2023-01-10 04:00:00,-12488.0,7.3789062,3.1015625,54.75,6.5,unstable,247.20161046286842,9
2023-01-10 05:00:00,-12936.0,7.625,2.3710938,54.75,6.5,unstable,252.7262328674181,9
2023-01-10 06:00:00,-9392.0,6.8359375,1.8183594,54.75,6.5,unstable,255.10424981498477,10
2023-01-10 07:00:00,-572.0,6.5507812,2.3359375,54.75,6.5,unstable,250.3743171468692,9
2023-01-10 08:00:00,2620.0,6.7929688,3.21875,54.75,6.5,stable,244.64674315007915,9
2023-01-10 09:00:00,5000.0,7.4140625,4.0585938,54.75,6.5,stable,241.30289481803143,9
2023-01-10 10:00:00,6296.0,7.8710938,5.4570312,54.75,6.5,stable,235.26642112034608,9
2023-01-10 11:00:00,5096.0,7.1367188,6.3984375,54.75,6.5,stable,228.12213066163267,9
2023-01-10 12:00:00,1321.0,6.3242188,7.7460938,54.75,6.5,stable,219.2295663461261,8
2023-01-10 13:00:00,-2180.0,5.7265625,9.4921875,54.75,6.5,unstable,211.10225222441622,8
2023-01-10 14:00:00,-6768.0,5.0273438,10.4921875,54.75,6.5,unstable,205.60146493061984,8
2023-01-10 15:00:00,-21296.0,3.1210938,11.4453125,54.75,6.5,unstable,195.2534642798566,8
2023-01-10 16:00:00,-55072.0,1.7216797,11.953125,54.75,6.5,unstable,188.1962811939742,7
2023-01-10 17:00:00,-78016.0,-0.6464844,12.9453125,54.75,6.5,unstable,177.1410438529665,7
2023-01-10 18:00:00,-97472.0,-2.3046875,14.7265625,54.75,6.5,unstable,171.10543298192061,7
2023-01-10 19:00:00,-89024.0,-2.34375,17.125,54.75,6.5,unstable,172.20684158276947,7
2023-01-10 20:00:00,-102720.0,-0.54248047,17.234375,54.75,6.5,unstable,178.1971157984854,7
2023-01-10 21:00:00,-77760.0,1.5341797,15.4140625,54.75,6.5,unstable,185.6839959764178,7
2023-01-10 22:00:00,-502.0,2.7753906,14.1640625,54.75,6.5,unstable,191.08641291427008,7
2023-01-10 23:00:00,146048.0,7.015625,14.296875,54.75,6.5,stable,206.13766627737192,8
2023-01-11 00:00:00,231552.0,8.5625,13.9765625,54.75,6.5,stable,211.49300029442253,8
2023-01-11 01:00:00,251008.0,9.421875,12.8515625,54.75,6.5,stable,216.24628709576675,8
2023-01-11 02:00:00,238720.0,11.8203125,8.390625,54.75,6.5,stable,234.6310393218442,9
2023-01-11 03:00:00,192000.0,11.609375,4.28125,54.75,6.5,stable,249.75727471985903,9
2023-01-11 04:00:00,131840.0,11.109375,3.5078125,54.75,6.5,stable,252.4763599979617,9
2023-01-11 05:00:00,102400.0,11.4375,3.1386719,54.75,6.5,stable,254.6546803513317,9
2023-01-11 06:00:00,87488.0,11.078125,2.5058594,54.75,6.5,stable,257.2542527926838,10
2023-01-11 07:00:00,55264.0,10.4609375,2.6054688,54.75,6.5,stable,256.0141084710351,10
2023-01-11 08:00:00,41504.0,10.0859375,3.1035156,54.75,6.5,stable,252.896491498976,9
2023-01-11 09:00:00,32720.0,9.984375,3.8339844,54.75,6.5,stable,248.9932885864592,9
