turbineName,grossAnnualYield_MWh_per_year,blockageOnAnnualYield_MWh_per_year,internalWakesOnAnnualYield_MWh_per_year,hysteresisAdjustmentOnAnnualYield_MWh_per_year,largeWindFarmCorrectionOnAnnualYield_MWh_per_year,neighborsWakesOnAnnualYield_MWh_per_year,fullAnnualYield_MWh_per_year,freeMeanWindSpeed_m_per_s,fullMeanWindSpeed_m_per_s,ambientMeanTurbulenceIntensity_percentage,fullMeanTurbulenceIntensity_percentage,airDensityAtHubHeight_kg_per_m3,farm_name,easting,northing,turbineInteractionEfficiency
T42,14655.118623325987,13936.377906525573,11493.118514097489,11493.118514097489,11493.118514097489,11340.601733590773,11340.601733590773,7.343394754759646,6.414818037942292,7.499999999999998,8.652054894512275,1.225,Farm,104064.8956,100469.8368,0.7738321350425902
T44,14655.118623325987,13935.34089063797,11657.426004221523,11657.426004221523,11657.426004221523,11515.158886406707,11515.158886406707,7.343394754759646,6.471156040969621,7.499999999999998,8.590244393902697,1.225,Farm,100180.4718,99130.96525,0.785743137423567
T45,14655.118623325987,13944.843421668736,12002.885414414948,12002.885414414948,12002.885414414948,11896.868094241006,11896.868094241006,7.343394754759646,6.579955867508049,7.499999999999998,8.430843225850134,1.225,Farm,106030.2378,102134.4975,0.8117892730875081
T46,14655.118623325987,13944.517623286976,12222.22028378429,12222.22028378429,12222.22028378429,11684.809903942341,11684.809903942341,7.343394754759646,6.5188065981726195,7.499999999999998,8.555691466310542,1.225,Farm,96129.01485,100102.2472,0.7973193669919587
T47,14655.118623325987,13933.519211309618,11410.614097643982,11410.614097643982,11410.614097643982,11302.512993942883,11302.512993942883,7.343394754759646,6.4077661122370575,7.499999999999998,8.663601741230917,1.225,Farm,102766.8187,99489.95314,0.7712331291507329
T49,14655.118623325987,13940.06807245099,11771.994281194806,11771.994281194806,11771.994281194806,11587.173026579487,11587.173026579487,7.343394754759646,6.493773538226202,7.499999999999998,8.566592322903405,1.225,Farm,98537.63349,99006.3215,0.790657061494994
T50,14655.118623325987,13934.963868713514,11653.15607551097,11653.15607551097,11653.15607551097,11508.622100427003,11508.622100427003,7.343394754759646,6.460088440151609,7.499999999999998,8.58174351543404,1.225,Farm,105119.2495,100746.6327,0.7852970962725047
T51,14655.118623325987,13949.64617610543,13255.83694609339,13255.83694609339,13255.83694609339,11823.445918836878,11823.445918836878,7.343394754759646,6.570343312132013,7.499999999999998,8.499095414004566,1.225,Farm,94660.75552,100894.7398,0.8067792709652964
T52,14655.118623325987,13938.07586770798,11510.483999328639,11510.483999328639,11510.483999328639,11394.773169691713,11394.773169691713,7.343394754759646,6.425404118242556,7.499999999999998,8.637873496466312,1.225,Farm,101231.5746,98805.46409,0.7775285524850746
T53,14655.118623325987,13953.199705718376,12387.4019341302,12387.4019341302,12387.4019341302,12275.332814216828,12275.332814216828,7.343394754759646,6.6900690376937835,7.499999999999998,8.288083764347897,1.225,Farm,106929.5862,102779.1313,0.8376140193555756
T54,14655.118623325987,13944.436943632261,12020.241889454268,12020.241889454268,12020.241889454268,11681.243876389799,11681.243876389799,7.343394754759646,6.523501781732736,7.499999999999998,8.539078648191095,1.225,Farm,96855.50564,99262.17975,0.7970760371599596
T55,14655.118623325987,13931.661377956912,11376.623453352471,11376.623453352471,11376.623453352471,11266.179698953303,11266.179698953303,7.343394754759646,6.392875356853025,7.499999999999998,8.668366801756749,1.225,Farm,103881.3226,99561.59932,0.768753906981098
T57,14655.118623325987,13936.589855621221,11752.642108892916,11752.642108892916,11752.642108892916,11549.4410579899,11549.4410579899,7.343394754759646,6.473151772520951,7.499999999999998,8.582194332713053,1.225,Farm,99530.03764,98472.02412,0.7880824000705869
T58,14655.118623325987,13936.214570890892,11798.228299830396,11798.228299830396,11798.228299830396,11686.208511137467,11686.208511137467,7.343394754759646,6.5102155009766145,7.499999999999998,8.512891584317734,1.225,Farm,106150.4168,101216.7212,0.7974148017155576
T59,14655.118623325987,13942.408598838841,12491.875570600785,12491.875570600785,12491.875570600785,11861.53204925749,11861.53204925749,7.343394754759646,6.580386176345796,7.499999999999998,8.48525604444964,1.225,Farm,95224.39096,99906.84185,0.8093780988151094
T60,14655.118623325987,13932.3410064737,11463.707730267284,11463.707730267284,11463.707730267284,11338.665529109472,11338.665529109472,7.343394754759646,6.409704394098945,7.499999999999998,8.656004390229288,1.225,Farm,102365.333,98656.19306,0.7737000170754098
T62,14655.118623325987,13937.491127316616,11947.64235179089,11947.64235179089,11947.64235179089,11747.137488779666,11747.137488779666,7.343394754759646,6.5364838061877055,7.499999999999998,8.516518281449866,1.225,Farm,97745.46882,98527.85377,0.8015723236850639
