turbineName,grossAnnualYield_MWh_per_year,blockageOnAnnualYield_MWh_per_year,internalWakesOnAnnualYield_MWh_per_year,hysteresisAdjustmentOnAnnualYield_MWh_per_year,largeWindFarmCorrectionOnAnnualYield_MWh_per_year,neighborsWakesOnAnnualYield_MWh_per_year,fullAnnualYield_MWh_per_year,freeMeanWindSpeed_m_per_s,fullMeanWindSpeed_m_per_s,ambientMeanTurbulenceIntensity_percentage,fullMeanTurbulenceIntensity_percentage,airDensityAtHubHeight_kg_per_m3,farm_name,easting,northing,turbineInteractionEfficiency
T86,14655.118623325987,13927.096498362696,11810.965100184085,11810.965100184085,11810.965100184085,11717.135078017493,11717.135078017493,7.343394754759646,6.511792427067266,7.499999999999998,8.517451434864542,1.225,Farm,101186.1946,97206.26188,0.7995250928482954
T87,14655.118623325987,13963.42574240404,11967.13037312667,11967.13037312667,11967.13037312667,11873.089792292558,11873.089792292558,7.343394754759646,6.5720164296712476,7.499999999999998,8.435587834716179,1.225,Farm,108161.7989,101773.3921,0.8101667477051069
T88,14655.118623325987,13928.586164637336,12449.037509585021,12449.037509585021,12449.037509585021,12191.454613797629,12191.454613797629,7.343394754759646,6.661676110270951,7.499999999999998,8.365945708092177,1.225,Farm,95962.95203,97953.03495,0.8318905446724232
T89,14655.118623325987,13932.191896776061,11786.229644596626,11786.229644596626,11786.229644596626,11689.6405743123,11689.6405743123,7.343394754759646,6.505079544020796,7.499999999999998,8.507381848771812,1.225,Farm,104371.2681,98064.25164,0.7976489904152908
T91,14655.118623325987,13922.797939541333,12215.980661055837,12215.980661055837,12215.980661055837,12094.544308462222,12094.544308462222,7.343394754759646,6.630454323852461,7.499999999999998,8.373231545369894,1.225,Farm,99138.14647,96961.16011,0.8252778172134208
T92,14655.118623325987,13938.759484274964,11843.026286919921,11843.026286919921,11843.026286919921,11732.404834730043,11732.404834730043,7.343394754759646,6.521758806773541,7.499999999999998,8.482651558665768,1.225,Farm,107103.1992,99991.20092,0.8005670330130271
T93,14655.118623325987,13927.006725541738,13366.425264663914,13366.425264663914,13366.425264663914,12481.391515953408,12481.391515953408,7.343394754759646,6.75033556546855,7.499999999999998,8.258146300029695,1.225,Farm,94089.51501,98855.94823,0.8516745470819498
T94,14655.118623325987,13926.637877473473,11861.784224115645,11861.784224115645,11861.784224115645,11765.901524683482,11765.901524683482,7.343394754759646,6.537120045052834,7.499999999999998,8.47356636585705,1.225,Farm,102504.8779,97124.10099,0.8028526978932911
T96,14655.118623325987,14132.703641673632,12733.459801434752,12733.459801434752,12733.459801434752,12665.44443295274,12665.44443295274,7.343394754759646,6.797920352169008,7.499999999999998,8.143296290984976,1.225,Farm,109279.3198,102673.0606,0.8642334981030887
T97,14655.118623325987,13928.975007329127,12690.592991423091,12690.592991423091,12690.592991423091,12484.862198805862,12484.862198805862,7.343394754759646,6.744516045090888,7.499999999999998,8.238773417166026,1.225,Farm,96970.6073,96947.61536,0.8519113710164167
T98,14655.118623325987,13949.151325809089,12065.281000745832,12065.281000745832,12065.281000745832,11968.229164691435,11968.229164691435,7.343394754759646,6.587375075173465,7.499999999999998,8.391127388936203,1.225,Farm,105760.1706,98294.97611,0.8166586345907884
T100,14655.118623325987,13935.33178843697,12447.370752059864,12447.370752059864,12447.370752059864,12353.151786294835,12353.151786294835,7.343394754759646,6.701191685996228,7.499999999999998,8.275784318406993,1.225,Farm,100441.0291,96489.77027,0.8429240392931927
T101,14655.118623325987,13966.29824629613,12113.953650649584,12113.953650649584,12113.953650649584,12026.89255892334,12026.89255892334,7.343394754759646,6.6151253856241174,7.499999999999998,8.362957063979817,1.225,Farm,108235.0563,100770.5347,0.8206615632425247
T102,14655.118623325987,13932.839136097524,13159.157288118804,13159.157288118804,13159.157288118804,12835.881234445338,12835.881234445338,7.343394754759646,6.845100660843266,7.499999999999998,8.12502332322461,1.225,Farm,94984.0706,97821.55078,0.8758633460676982
T103,14655.118623325987,13936.5932223613,12091.906031492932,12091.906031492932,12091.906031492932,11994.206153516647,11994.206153516647,7.343394754759646,6.5877017598691525,7.499999999999998,8.397098619548208,1.225,Farm,103857.9287,97250.19536,0.8184311885695644
T105,14655.118623325987,13932.806082037483,12578.583409983588,12578.583409983588,12578.583409983588,12414.074678874782,12414.074678874782,7.343394754759646,6.720895542333709,7.499999999999998,8.263425032252583,1.225,Farm,98275.23922,96629.2176,0.8470811460451626
T106,14655.118623325987,13941.773049677899,11887.621533331869,11887.621533331869,11887.621533331869,11796.15001497403,11796.15001497403,7.343394754759646,6.5404720398850165,7.499999999999998,8.464413389477912,1.225,Farm,106806.6401,99136.60741,0.8049167201006857
T108,14655.118623325987,13932.262243744344,12127.302350464448,12127.302350464448,12127.302350464448,12030.48395032,12030.48395032,7.343394754759646,6.605123671217269,7.499999999999998,8.395552986893396,1.225,Farm,101775.7203,96638.23162,0.8209066237902396
T109,14655.118623325987,13992.530640624287,12195.753109608273,12195.753109608273,12195.753109608273,12122.486260953749,12122.486260953749,7.343394754759646,6.648288736217463,7.499999999999998,8.347002137198043,1.225,Farm,108929.3153,101920.0763,0.827184451558028
T110,14655.118623325987,13921.070445830193,12804.493099220292,12804.493099220292,12804.493099220292,12569.105204476557,12569.105204476557,7.343394754759646,6.765411330135806,7.499999999999998,8.22168461452255,1.225,Farm,96189.90681,97230.44957,0.8576597383845667
